id,name,name_en,type,description,requirements,time_to_create,cost,duration,items
1,Поиск земли,Seek Earth,Информационное,"Это базовое заклинание школы Земли. Сообщает заклинателю направление и приблизительное расстояние до ближайшего искомого количества земли, металла или камня. Используйте модификаторы дальних дистанций (стр. 151). Любые известные заклинателю источники материала могут быть исключены из области поиска перед сотворением заклинания.",-,10,3,-,Раздвоенная палка с унцией земли/камня/металла на конце. Каждая палка будет искать только заданный (встроенный в рагулину) тип материала. 50 энергии и деньги на приобретение унции соответствующего материала.
2,Формование земли,Shape Earth,Обычное,"Позволяет заклинателю перемещать землю и придавать ей форму. Если форма стабильна (т.е. холм), она останется в таком состоянии после формирования. Не стабильная форма (т.е. колонна или стена) будет держаться только в течении действия заклинания (благо концентрация не требуется) а потом развалиться. Земля перемещаемая с помощью этого заклинания двигается со скоростью 2 клетки в ход. С такой скоростью она не способна причинить вред, корме как засыпать неподвижного человека. Если земля двигается в клетку с человеком или из нее (образуя яму), человек может двигаться как обычно в свой ход чтобы избежать проблем. Кто либо похороненный под землей с помощью этого заклинания может пытаться процарапаться наружу. Каждый ход позволен бросок ST-4, мастер может усложнить бросок если насыпано больше чем одна клетка земли. Похороненный может задерживать дыхание в течении HTx10 секунд а потом начинает терять по единице усталости в ход (стр. 91).",Поиск земли,1,"2 за клетку, 1 за клетку на поддержание.",1 минута,"Посох, палочка, украшение или копательный инструмент. 200 энергии."
3,Превращение камня в землю,Stone to Earth,Обычное,"Превращает любой камень (включая драгоценные) в землю. Должно быть сотворено на цельный кусок, а не на часть.",Формование земли,1,"3 за предмет весом до 20 lbs; 5 за больший предмет размером до клетки, плюс 5 за каждую следующую клетку.",Навсегда,"Посох, палочка или украшение. 400 энергии."
4,Превращение земли в камень,Earth to Stone,Обычное,Превращает предмет сделанный из земли или глины в твердый камень (не драгоценный),Формование земли,-,"3 за предмет весом до 20 lbs; 5 за больший предмет размером до клетки, плюс 5 за каждую следующую клетку.",Навсегда,"Посох, палочка или украшение. 300 энергии."
5,Создать землю,Create Earth,Обычное,"Позволяет заклинателю создать хорошую, твердую землю там, где ее ранее не было. Земля должна быть создана соприкасаясь с уже существующей землей, а не где-то в воздухе или плавающей в воде.",Превращение земли в камень,-,4 за клетку земли созданной из ничего (или заполняющей яму) или 2 за клетку связывания грязи в хорошую почву.,Навсегда,Посох или палочка. 500 энергии.
6,Каменный снаряд,Stone Метательное,Метательное,"Позволяет заклинателю создать шар из камня и огня в руке. При попадании, наносит дробящие (crushing) повреждения и исчезает.  SS 13, Acc +2, 1/2D 40, Max 80","Create Earth, 4 заклинания школы стихии Земли",1 за каждую единицу энергии.,от 1 до 3. 1d+1 повреждений за каждую единицу энергии.,Мгновенно,Посох или палочка – снаряды появляются на конце. Используемо только магами. 400 энергии.
8,Чрезземное зрение,Earth Vision,Обычное,"Заклинание позволяет объекту видеть сквозь землю – позволяет находить пещеры, полезные ископаемые, спрятанные сокровища, закопанные трупы и т.д. Земля и необработанный камень (до 50 ярдов глубиной) становятся прозрачными для взгляда объекта. Метал, обработанный камень, кирпичи и т.п. не становиться прозрачными. Так что это заклинание не позволяет подглядывать сквозь замковые стены.",Формование земли,-,2 за 10 ярдов глубины на сотворение и тоже и самое на поддержание,30 секунд,Любой. 400 энергии
9,Special Вызов элементала (Земли),Summon (Earth) Elemental,Special,"Это заклинание отдельно для каждой стихийной школы. Позволяет заклинателю вызвать ближайшего элемтала – если таковой вообще имеется. Земляной элементал пройдет максимум милю. Мастер должен считать что при обычных условиях элемнтал доступен, пока ему логически просто неоткуда взяться.  Мастер определяет характеристики элементала кидая 2d на каждую, если по его замыслам не требуется каких-либо специальных характеристик. При критическом успехе приходят 1d+1 элементалов и ST и HT кидаются по 3d. Пришедший элементал не находиться под контролем заклинателя, но должен оставаться с заклинателем в течении часа, или пока не разрешат уйти, или пока не уничтожит заклинателя. Примите к сведению, что если злементалу разрешили уйти, он далеко не обязан это делать, и если он агрессивен или просто любопытен – может и остаться… Заклинатель может задавать вопросы, простить о услуге и т.д. Сразу же делается бросок реакции эленментала на заклинателя. При хорошей реакции элементал будет сотрудничать в течении часа а потом исчезнет. (При вызове элементала неплохо бы помнить о том, что они могут пойти на сделку, конечно если ты достаточно мудр, чтобы знать что заинтересует элементала).  Если заклинание используется (еще раз) кидается 1d, на 1-3 приходит новый элементал, на 4 и 5 приходит тот же что и в прошлый раз, на 6 никто не приходит. Если тот же элементал вызван в течении недели, его реакция с –4.","Magery, минимум 8 заклинаний соответствующей школы, или 4 заклинания соответствующей школы и заклинание вызова элементала другой стихи.",30 секунд. Мастер кидает 2d чтобы определить через сколько минут появиться элементал.,4,"1 час, не может быть поддержана","Посох, палочка или украшение украшенное изображениями соответствующей стихии – для каждой стихи – свой предмет. 800 энергии, $1300 золотом или платиной."
10,Управление элементалом (Земли),Control (Earth) Elemental,Special Защита по ST или IQ (что больше),Дает заклинателю управлять действиями элементаля. Для непосредственного управления элементаль должен находиться в поле зрения заклинателя. Если скомандовать элемнталю проваливать – онвыполнит команду. Если элементаля посылают сделать что-либо самостоятельно необходим успешный бросок IQ (модификаторы мастера) элементаля для корректного выполнения задания!,Summon Elemental,2 секунды,1/8 суммы характеристик элементала (округленно вверх) на сотворение и половина этого (округленно вверх) в минуту на поддержание,1 минута,"Посох, палочка или украшение украшенное изображениями соответствующей стихии – для каждой стихи – свой предмет. Не позволяет сотворять это заклинание, но дает +2 при сотворении им данного заклинания, не кумулятивно. 1000 энергии, $1300 золотом или платиной."
11,Создание элементала (Земли),Create (Earth) Elemental,Special,"Позволяет заклинателю создать дух соответствующей стихии. IQ и DX не могут превышать 12; ST и HT не ограничены. Минимальных ограничений нет, однако очень глупые элементалы не будут понимать сложных команд и т.д.","Magery 2, Control Elemental",Количество секунд равное сумме характеристик элементала.,1/4 суммы характеристик элементала. Стоимость удваивается при создании в неуместном месте (допустим создание водного элемнтала в рядом с вулканом),Вновь созданный элементал будет послушно служить создателю в течении часа. По истечению часа кидается быстрое сравнение уровня умения заклинателя с этим заклинанием и суммы IQ и ST элементала. Если заклинатель выиграл – элементал будет служить еще час после чего потребуется еще один бросок и т.д. Если элементал выиграл сравнение он убедит или (при очень плохой реакции) будет атаковать.,-
12,Очистка воздуха,Purify Air,Областное,"Это базовое заклинание школы Воздуха. Оно убирает все примеси за воздуха в указанной клетк(ах). Это заклинание часто используется для нейтрализации отравляющих газов и ядовитых испарений. Обратите внимание, что комнату полную дыма можно спокойно очистить по частям, а действительно ядовитые испарения должны быть удалены за раз, или часть из них может распространится по уже отчищенным клеткам. Это заклинание может также превратить старый спертый воздух в свежий – пригодный для дыхания. Одной клетки не обновляемого воздуха хватает на 45 минут спокойного дыхания одного человека.",-,Мгновенно,"1. Поддержание невозможно, необходимо сотворять заново.",Перманентно,"Посох, палочка или украшение. 50 энергии."
13,Создать воздух,Create Air,Областное,"Это заклинание создает воздух из «неоткуда». Сотворение его там где уже есть воздух приводит к появлению слабого ветра секунд на пять. Сотворенное в вакууме мгновенно даст воздух для дыхания. Сотворенный в земле, камне или металле воздух заполнит все пустоты но не будет разрушать конструкцию. Сотворенный под водой воздух приводит к появлению пузырей…",Очистка воздуха,5 секунд,1 (за 1 клетку воздуха нормального атмосферного давления).,Созданный воздух перманентен.,"Посох, палочка или украшение. 200 энергии."
14,Формование Воздуха,Shape Air,Обычное,"Позволяет заклинателю создать движения воздуха в небольшом объеме. Втер начинает дуть из выбранной клетки, потоком шириной в 1 клетку, на расстояние в пять раз большее энергии вложенной в заклинание, после чего исчезает. Ветер может вызвать «отбрасывание» (см. стр. 106) попавших в струю. За каждые 2 пункта энергии вложенной в заклинание кидай 1d каждый раунд за каждую затронутую персону. 8 полных очков сдвигают на 1 клетку назад.",Создать воздух,-,"от 1 до 10. 1 даст мягкий бриз, 4 ветер, 6 штормовой ветер, 8 и более неистовый порыв. Стоимость поддержания та же что и на сотворение",1 минута,"Посох, палочка или украшение. 200 энергии."
15,Прогноз погоды,Predict Weather,Информационное,Позволяет заклинателю точно предсказать метеосводку указанной местности в указанное время. Не ведет к магическому вмешательству и не учитывает в расчете действия других заклинателей!,-,5 секунд за день предсказания.,"2 энергии за каждый отстоящий от текущего день до момента предсказания. Стоимость удваивается если предсказание не относиться к текущему месту (скажем, находиться за линией горизонта). Учетверяется если предсказывается погода на другом континенте. С помощью этого заклинания невозможно предсказание погоды на других планетах или измерениях (планах).",-,-
16,Хождение по воздуху,Walk on Air,Обычное,"Воздух под ногами объекта становиться твердым так что он может ходить (или бегать) через расщелины, подниматься или спускаться по воображаемым «лестницам». Если объект теряет равновесие (падает) по какой то причине (допустим от раны) – заклинание прекращает свое действие. Если заклинание будет пересотварено немедленно – объект будет падать всего секунду (около 5 ярдов) а потом «приземлиться» на воздух (получив при этом 1d повреждений)",Формование Воздуха,-,"3 на сотворение, 2 на поддержание.",1 минута.,"Посох, палочка, украшение или обувь. Работает только на носителя. 500 энергии, $1000."
17,Дышать водой,Breathe Water,Обычное,Позволяет объекту дышать в воде как будто это обычный воздух. При этом объект не теряет способности дышать обычным воздухом.,"Create Air, Destroy Water",1,"4, 2 на поддержание",1 минута,-
18,Облака,Clouds,Областное,Создает или развеивает обычные природные тучи и облака.,4 заклинания школы стихии Воды и 4 стихии Воздуха,10 секунд,"1/20, тоже и самое на поддержание",10 минут после прекращения поддержания заклинания облака вернуться к исходному состоянию (развеяться / вернуться),"Посох, палочка или украшение. 300 энергии"
19,Молния,Lightning,Метательное,"Позволяет заклинателю пустить вспышку молнии с кончика своего пальца. Очень неплохое стрелковое заклинание, не такое разрушительное как огненный шар (Fireball), но более меткое и дальнобойное. При использовании в высоко технологичных мирах имеет тенденцию попадать в электроприборы. «Молния» не может быть пущена через металлическую сетку, между прутьями решетки, изнутри машины и т.д. – она перескочит на метал и заземлится. Металлическая броня не защищает от «молнии» - трактуйте металлическую броню при попадании этим заклинанием как PD 0, DP 1.  «Молния» может вызывать непредсказуемые эффекты. Мастер может, к примеру, позволить заклинателю выстрелить в металлический пол между людьми. Это, конечно же, не нанесет страшные повреждений всем стоящим на полу, но может неплохо потрясти, сбить концентрацию и принести небольшие (может быть 1 очко?) повреждения. Мастер может поощрять творческое использование заклинания, пока оно не приносит неприятностей…   SS 13, Acc +3, 1/2D 50, Max 100","Shape Air, 4 заклинания школы стихии Воздуха",от 1 до 3 секунд (палец заклинателя будет искриться все сильнее с набором заклинанием силы),от 1 до 3. 1d-1 повреждений за каждую вложенную единицу энергии.,-,"Посох или палочка – молния вылетает с конца. 800 энергии, $1200 на украшение платиной. Используемо только магами"
20,Дождь,Rain,Областное,Создает (или останавливает) 1 дюйм (~2.5 см.) нормальных атмосферных осадков.,Облака,1 минута,1/10. та же стоимость поддержания. Вызова дождя в пустыне (или другой не дождливой территории на усмотрение Мастера) удваивает стоимость. Стоимость предотвращения дождя удваивается в естественно дождливой или болотистой местности,1 час,Посох или палочка. 600 энергии. Используемо только магами. Не используемая должна храниться в воде
21,Вызов элементала (Воздуха),Summon (Air) Elemental,Special,"Воздушные и водные элементалы способны перемещаться на несколько миль в рамках своей стихии, чтобы придти на зов заклинателя.  Заклинатель может задавать вопросы, простить о услуге и т.д. Сразу же делается бросок реакции эленментала на заклинателя.  При хорошей реакции элементал будет сотрудничать в течении часа а потом исчезнет. (При вызове элементала неплохо бы помнить о том, что они могут пойти на сделку, конечно если ты достаточно мудр, чтобы знать что заинтересует элементала)  Если заклинание используется (еще раз) кидается 1d, на 1-3 приходит новый элементал, на 4 и 5 приходит тот же что и в прошлый раз, на 6 никто не приходит. Если тот же элементал вызван в течении недели, его реакция с –4.","Magery, минимум 8 заклинаний соответствующей школы, или 4 заклинания соответствующей школы и заклинание вызова элементала другой стихи.",-,-,-,-
22,Превращение земли в воздух,Earth to Air,Обычное,Это заклинание превращающее землю или камень в воздух может очень пригодиться тому кто замурован под землей. Это заклинание принадлежит также школе Воздуха.,"Create Air, Shape Earth",2 секунды,1 на превращение куба-фута земли/камня в воздух (достаточно для дыхания одного человека в течении минуты). Или 8 за «клетку».,Навсегда,"Посох, палочка или украшение. Используемо только магами. Необходимо коснутся трансформируемого камня/земли. 750 энергии, $1000 ювелирных изделий."
